system:index,date,temperature_2m,.geo
20250113_56_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_57_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_58_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_59_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_0_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_1_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_2_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_3_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_4_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_5_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_6_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_7_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_8_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_9_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_10_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_11_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_12_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_13_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_14_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_15_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_16_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_17_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
